category  student level title duration
the-arts	Elementary/Primary	The Case For Andy Warhol	03:42
the-arts	Elementary/Primary	Who IS Sherlock Holmes?	Neil McCaw	04:54
the-arts	Elementary/Primary	The origins of ballet	Jennifer Tortorello and Adrienne Westwood	04:38
the-arts	Elementary/Primary	The physics of playing guitar	Oscar Fernando Perez	04:55
the-arts	Elementary/Primary	The incredible history of China's terracotta warriors	Megan Campisi and Pen-Pen Chen	04:32
the-arts	Elementary/Primary	The complex geometry of Islamic design	Eric Broug	05:07
the-arts	Elementary/Primary	Rhythm in a box: The story of the cajon drum	Paul Jennings	03:30
the-arts	Elementary/Primary	A different way to visualize rhythm	John Varney	05:23
the-arts	Elementary/Primary	The sweaty teacher’s lament	Justin Lamb	03:11
the-arts	Elementary/Primary	Making a TED-Ed Lesson: Visualizing complex ideas	05:04
the-arts	Elementary/Primary	How art can help you analyze	Amy E. Herman	04:50
the-arts	Elementary/Primary	Kabuki: The people's dramatic art	Amanda Mattes	04:16
the-arts	Elementary/Primary	How to take a great picture	Carolina Molinari	02:58
the-arts	Elementary/Primary	Making a TED-Ed Lesson: Two ways to animate slam poetry	05:25
the-arts	Elementary/Primary	How to read music	Tim Hansen	05:24
the-arts	Elementary/Primary	Making a TED-Ed Lesson: Animating zombies with puppets	05:07
the-arts	Elementary/Primary	Animation basics: The optical illusion of motion	TED-Ed	05:12
the-arts	Elementary/Primary	Making a TED-Ed Lesson: Synesthesia and playing cards	04:07
the-arts	Elementary/Primary	Beatboxing 101	BEAT NYC	06:09
the-arts	Elementary/Primary	Development of English drama	Mindy Ploeckelmann	03:47
the-arts	Elementary/Primary	Gyotaku: The ancient Japanese art of printing fish	K. Erica Dodge	03:38
the-arts	Elementary/Primary	Animation basics: Homemade special effects	TED-Ed	04:19
the-arts	Elementary/Primary	Become a slam poet in five steps	Gayle Danley	03:32
the-arts	Elementary/Primary	Visualizing hidden worlds inside your body	Dee Breger	06:06
the-arts	Elementary/Primary	Illuminating photography: From camera obscura to camera phone	Eva Timothy	04:50
the-arts	Elementary/Primary	Beach Bodies (in spoken word)	David Fasanya and Gabriel Barralaga	03:33
the-arts	Elementary/Primary	A tap dancer's craft	Andrew Nemr	05:52
the-arts	Elementary/Primary	Inside a cartoonist’s world	Liza Donnelly	04:23
the-arts	Elementary/Primary	Music as a language	Victor Wooten	05:00
the-arts	Middle School/Lower Secondary	The Case For Andy Warhol	03:42
the-arts	Middle School/Lower Secondary	What makes something "Kafkaesque"?	Noah Tavlin	05:04
the-arts	Middle School/Lower Secondary	The evolution of the book	Julie Dreyfuss	04:18
the-arts	Middle School/Lower Secondary	The pleasure of poetic pattern	David Silverstein	04:47
the-arts	Middle School/Lower Secondary	Who IS Sherlock Holmes?	Neil McCaw	04:54
the-arts	Middle School/Lower Secondary	What is abstract expressionism?	Sarah Rosenthal	04:50
the-arts	Middle School/Lower Secondary	The origins of ballet	Jennifer Tortorello and Adrienne Westwood	04:38
the-arts	Middle School/Lower Secondary	How ancient art influenced modern art	Felipe Galindo	04:51
the-arts	Middle School/Lower Secondary	How to make your writing funnier	Cheri Steinkellner	05:07
the-arts	Middle School/Lower Secondary	How science fiction can help predict the future	Roey Tzezana	05:22
